Proteins	Shift
WDR12_HUMAN	right shift
REXO4_HUMAN	right shift
TOLIP_HUMAN	right shift
DDX47_HUMAN	right shift
TSYL1_HUMAN	right shift
I2BPL_HUMAN	right shift
VPS16_HUMAN	right shift
SLK_HUMAN	right shift
IPYR2_HUMAN	right shift
MUC13_HUMAN	right shift
FN3K_HUMAN	right shift
OFUT1_HUMAN	right shift
CIA2A_HUMAN	right shift
RPF2_HUMAN	right shift
PGES2_HUMAN	right shift
UBE2Z_HUMAN	right shift
GORS2_HUMAN	right shift
LRC40_HUMAN	right shift
I20L2_HUMAN	right shift
NMNA1_HUMAN	right shift
MYG1_HUMAN	right shift
MRM3_HUMAN	right shift
NOP10_HUMAN	right shift
OSGEP_HUMAN	right shift
BRD7_HUMAN	right shift
ACO13_HUMAN	right shift
RPR1B_HUMAN	right shift
NIT2_HUMAN	right shift
SAS10_HUMAN	right shift
PDLI7_HUMAN	right shift
ACSA_HUMAN	right shift
DBLOH_HUMAN	right shift
SIAS_HUMAN	right shift
D39U1_HUMAN	right shift
SYFB_HUMAN	right shift
SYIM_HUMAN	right shift
ATG3_HUMAN	right shift
ECHD1_HUMAN	right shift
RBM12_HUMAN	right shift
MDN1_HUMAN	right shift
ACS2L_HUMAN	right shift
DDX28_HUMAN	right shift
ABCF3_HUMAN	right shift
CYRIB_HUMAN	right shift
IMP3_HUMAN	right shift
EXD2_HUMAN	right shift
ARL8B_HUMAN	right shift
PNPO_HUMAN	right shift
RBM28_HUMAN	right shift
CUED1_HUMAN	right shift
PK1IP_HUMAN	right shift
NDUBB_HUMAN	right shift
ADPRS_HUMAN	right shift
THUM1_HUMAN	right shift
GAR1_HUMAN	right shift
AATF_HUMAN	right shift
M3K20_HUMAN	right shift
TLS1_HUMAN	right shift
NOP53_HUMAN	right shift
FLRT3_HUMAN	right shift
HACD3_HUMAN	right shift
K1522_HUMAN	right shift
BCCIP_HUMAN	right shift
MYO1A_HUMAN	right shift
SAE1_HUMAN	right shift
GRHPR_HUMAN	right shift
CATZ_HUMAN	right shift
SAE2_HUMAN	right shift
PEF1_HUMAN	right shift
DDX20_HUMAN	right shift
PFD2_HUMAN	right shift
NRBP_HUMAN	right shift
DBNL_HUMAN	right shift
STML2_HUMAN	right shift
CCNL1_HUMAN	right shift
MRT4_HUMAN	right shift
DP13A_HUMAN	right shift
PARP4_HUMAN	right shift
BAG5_HUMAN	right shift
RAB21_HUMAN	right shift
MRTFB_HUMAN	right shift
EPDR1_HUMAN	right shift
NOL7_HUMAN	right shift
PACN2_HUMAN	right shift
WDR3_HUMAN	right shift
NSF1C_HUMAN	right shift
PP6R1_HUMAN	right shift
XCT_HUMAN	right shift
NIP7_HUMAN	right shift
PIN4_HUMAN	right shift
PLAP_HUMAN	right shift
NUDC_HUMAN	right shift
VDAC3_HUMAN	right shift
COF2_HUMAN	right shift
RCL1_HUMAN	right shift
DDX52_HUMAN	right shift
PDIP2_HUMAN	right shift
NOP58_HUMAN	right shift
ZN281_HUMAN	right shift
SYYM_HUMAN	right shift
NOP16_HUMAN	right shift
PPIL1_HUMAN	right shift
FIS1_HUMAN	right shift
STRAP_HUMAN	right shift
NOC2L_HUMAN	right shift
RL36_HUMAN	right shift
PKP3_HUMAN	right shift
DCAF1_HUMAN	right shift
LAS1L_HUMAN	right shift
CD2AP_HUMAN	right shift
TIM13_HUMAN	right shift
SNX5_HUMAN	right shift
SERC_HUMAN	right shift
ALG5_HUMAN	right shift
COPG1_HUMAN	right shift
MD1L1_HUMAN	right shift
RL13A_HUMAN	right shift
NUCB2_HUMAN	right shift
PTPA_HUMAN	right shift
SENP3_HUMAN	right shift
BORC7_HUMAN	right shift
TMED7_HUMAN	right shift
SYJ2B_HUMAN	right shift
SSF1_HUMAN	right shift
AASD1_HUMAN	right shift
ARL2_HUMAN	right shift
CSK2B_HUMAN	right shift
ACY1_HUMAN	right shift
CH10_HUMAN	right shift
HNRPM_HUMAN	right shift
NOLC1_HUMAN	right shift
DDX46_HUMAN	right shift
E41L1_HUMAN	right shift
GLSK_HUMAN	right shift
FUBP1_HUMAN	right shift
KIF2A_HUMAN	right shift
KC1A_HUMAN	right shift
HSP7C_HUMAN	right shift
RS15A_HUMAN	right shift
